Time_UV	Substrate	k	n0	r	t_mid	t_gen	Cyanobacteria	Condition	rse	tmidse
None	MGS-1	2.64037809	0.071020806	0.141898944	25.28868835	4.884794481	Anabaena_26	Dry	0.01125735	1.967051348
1min	MGS-1	2.589995843	0.089987278	0.133716217	24.86146567	5.18371816	Anabaena_26	Dry	0.007725146	1.360134446
10min	MGS-1	2.669070465	0.206064923	0.10635734	23.32651764	6.517154159	Anabaena_26	Dry	0.022130654	5.102375528
1h	MGS-1	2.769675409	0.140366485	0.113175082	25.89103102	6.124556449	Anabaena_26	Dry	0.011748564	2.560563087
2h	MGS-1	2.659170729	0.155770551	0.103896083	26.72883308	6.67154295	Anabaena_26	Dry	0.016006674	4.032821785
4h	MGS-1	2.651932374	0.080237885	0.12279836	28.23591886	5.644596421	Anabaena_26	Dry	0.010434822	2.290421532
72h	MGS-1	2.332753179	0.098900142	0.076333474	40.83886603	9.080514017	Anabaena_26	Dry	0.01847407	9.099829465
None	MMS-2	2.598466759	0.061621545	0.1160164	32.04430567	5.974562065	Anabaena_26	Dry	0.018031364	5.077258461
1min	MMS-2	2.675377722	0.029156397	0.127649822	35.31703828	5.430067754	Anabaena_26	Dry	0.012327123	3.366588598
10min	MMS-2	2.531124199	0.025643425	0.159982054	28.64039173	4.332655833	Anabaena_26	Dry	0.013437318	2.417154421
1h	MMS-2	2.508701463	0.008404282	0.161417862	35.28372561	4.294116982	Anabaena_26	Dry	0.01817587	4.171428205
2h	MMS-2	2.577066579	0.031255805	0.120383865	36.54974311	5.757807995	Anabaena_26	Dry	0.017260158	5.387090005
4h	MMS-2	2.304780018	0.012091253	0.148616831	35.29208773	4.663988439	Anabaena_26	Dry	0.02128224	5.420223229
72h	MMS-2	129755.2527	0.207561983	0.02320191	575.1995882	29.87457442	Anabaena_26	Dry	0.028742352	0
None	Montmorillonite	0.867865861	0.011211281	0.677970016	6.39573163	1.022386189	Anabaena_26	Dry	0.130514064	1.500868887
1min	Montmorillonite	0.956375242	0.01656218	0.633340425	6.376600994	1.094430662	Anabaena_26	Dry	0.078676532	0.887979256
10min	Montmorillonite	1.088650619	0.024994571	0.514495339	7.290267596	1.347237046	Anabaena_26	Dry	0.062132425	0.975433446
1h	Montmorillonite	1.575462028	0.126525587	0.343958782	7.08846713	2.015204196	Anabaena_26	Dry	0.033190684	0.715790635
2h	Montmorillonite	1.074008103	0.004498709	0.747563117	7.318666189	0.927208907	Anabaena_26	Dry	0.116804677	1.339065534
4h	Montmorillonite	1.191203864	0.015795349	0.518215376	8.316340428	1.337565832	Anabaena_26	Dry	0.047210845	0.812903415
72h	Montmorillonite	1.343129282	0.145513501	0.067224199	31.35506531	10.31097721	Anabaena_26	Dry	0.030482883	15.31392356
None	None	1.24310931	0.317321465	0.093348703	11.47021567	7.425354189	Anabaena_26	Dry	0.018248347	1.968604836
1min	None	1.65656328	0.542660292	0.050461973	14.25116348	13.73603023	Anabaena_26	Dry	0.008157515	0.421744837
10min	None	2.020301959	0.317882857	0.097476459	17.21567034	7.110918776	Anabaena_26	Dry	0.015976104	2.660874782
1h	None	2.023657336	0.268444351	0.092120092	20.38319557	7.524386529	Anabaena_26	Dry	0.015411132	3.188030829
2h	None	1.51415025	0.281207108	0.061936713	23.8641652	11.19121676	Anabaena_26	Dry	0.031378103	12.26275162
4h	None	1.971287966	0.459590885	0.04596356	25.90424835	15.08036315	Anabaena_26	Dry	0.021652615	3.179599275
72h	None	0	0	0	0	0	Anabaena_26	Dry	0	0
None	Nontronite	2.649588325	0.079571934	0.258918082	13.42125695	2.677090665	Anabaena_26	Dry	0.009773387	0.499427159
1min	Nontronite	2.725933766	0.144171614	0.192779093	14.96647305	3.59555163	Anabaena_26	Dry	0.013080133	1.009467089
10min	Nontronite	2.959235781	0.072329906	0.271668884	13.57057477	2.551441193	Anabaena_26	Dry	0.014639918	0.736104857
1h	Nontronite	2.905368629	0.090268534	0.220006845	15.63571427	3.150570982	Anabaena_26	Dry	0.0086974	0.605391696
2h	Nontronite	2.944642413	0.080820826	0.229039427	15.57669612	3.02632254	Anabaena_26	Dry	0.010188538	0.684324566
4h	Nontronite	2.935262913	0.071998009	0.202046703	18.22885152	3.430628508	Anabaena_26	Dry	0.006866122	0.602685292
72h	Nontronite	3.260800091	0.059378484	0.085638974	46.56079054	8.093828685	Anabaena_26	Dry	0.013441912	6.601276576
None	PRT	0	0	0	0	0	Anabaena_26	Dry	0	0
1min	PRT	0.234083206	0.852128295	0	0	0	Anabaena_26	Dry	0	0
10min	PRT	0	0	0	0	0	Anabaena_26	Dry	0	0
1h	PRT	0	0	0	0	0	Anabaena_26	Dry	0	0
2h	PRT	0.443697499	1.06694679	0	0	0	Anabaena_26	Dry	0	0
4h	PRT	0	0	0	0	0	Anabaena_26	Dry	0	0
72h	PRT	0	0	0	0	0	Anabaena_26	Dry	0	0
None	MGS-1	2.377839546	0.007426625	0.248901218	23.16480382	2.784828399	Nostoc_10	Dry	0.02783017	2.81379199
1min	MGS-1	2.354907436	0.114032104	0.099382153	29.9665656	6.97456392	Nostoc_10	Dry	0.024680373	8.098963214
10min	MGS-1	2.507501909	0.036515982	0.153566297	27.44497036	4.513667343	Nostoc_10	Dry	0.020008579	3.763455073
1h	MGS-1	1.879114711	0.01115168	0.156536971	32.71440381	4.428009406	Nostoc_10	Dry	0.031545426	7.594478306
2h	MGS-1	2.60591734	0.056595244	0.113805563	33.45757179	6.090626513	Nostoc_10	Dry	0.014990342	4.376968139
4h	MGS-1	2.678957823	0.029918246	0.113370441	39.54720353	6.114002676	Nostoc_10	Dry	0.014014383	4.878115971
