Cyanobacteria	Substrate	Media	Column1	k	k_se	k_p	n0	n0_se	n0_p	r	r_se	r_p	sigma	df	t_mid	t_gen	auc_l	auc_e	t_mid_se
Nostoc_10	None	MBL	V2	1.140217533	0.020223843	2.13E-112	0.218040662	0.009420839	1.44E-54	0.070958926	0.003204082	4.14E-52	0.070549093	171	20.32239718	9.768287404	58.14615672	58.58180857	0.633755884
Nostoc_10	MGS-1	MBL	V3	2.040957198	0.028023425	1.20E-130	0.377390294	0.036507913	9.18E-20	0.163765147	0.012002602	3.76E-29	0.229492651	171	9.058333971	4.232568356	129.9953991	130.4212205	0.604461996
Nostoc_10	MMS-2	MBL	V4	1.80080994	0.027921208	6.14E-122	0.244387849	0.033495718	1.06E-11	0.186638002	0.015553516	1.85E-24	0.236354633	171	9.919675571	3.713858772	113.9893174	125.3231121	0.796002155
Nostoc_10	None	dH2O	V7	0.470828748	0.197403749	0.018168213	0.929189381	0.096323964	7.47E-18	0	0	0.480452719	0.405066743	171	0	30.25224396	46.86125329	23.09149825	0
Nostoc_10	MGS-1	dH2O	V8	1.987652432	0.04838157	1.61E-90	0.449845452	0.024745251	8.39E-42	0.069174207	0.004613547	5.52E-33	0.173679872	171	17.76975272	10.02031259	104.9748642	108.6912505	0.77469231
Nostoc_10	MMS-2	dH2O	V9	2.296428785	0.097174662	9.46E-56	0.470511254	0.025648942	3.01E-42	0.053040627	0.004033478	9.66E-28	0.192002615	171	25.56564839	13.06823129	104.4956174	102.4141357	0.988230001
Anabaena_24	None	MBL	V2	1.240799467	0.00808941	4.67E-185	0.052072438	0.013191775	1.15E-04	1.090380835	0.107353982	2.91E-19	0.096466028	171	2.868724757	0.63569274	88.2108612	84.29244038	0.306340222
Anabaena_24	MGS-1	MBL	V3	2.722394653	0.01624466	1.37E-191	0.268615424	0.020065038	2.03E-28	0.241370538	0.009069164	1.07E-62	0.149865479	171	9.164763736	2.871714117	175.3354216	175.5000951	0.329203711
Anabaena_24	MMS-2	MBL	V4	2.394957777	0.017969722	1.04E-174	0.133195864	0.01195945	5.20E-22	0.18776737	0.006304044	1.40E-69	0.142556357	171	15.08291187	3.691520955	140.374283	133.794099	0.480023194
Anabaena_24	None	dH2O	V7	1.141291025	0.017414954	4.44E-123	0.064449573	0.044120075	1.46E-01	1.211444042	0.387834792	0.002098691	0.212480663	171	2.324419665	0.572166073	81.74793474	73.67485381	1.074764962
Anabaena_24	MGS-1	dH2O	V8	2.748589232	0.021395709	5.29E-172	0.409172948	0.029470183	7.77E-30	0.201954635	0.009352076	1.00E-50	0.189158023	171	8.633220023	3.432192477	177.4727175	184.5726171	0.371494022
Anabaena_24	MMS-2	dH2O	V9	1.742848837	0.03849241	3.91E-97	0.103749866	0.038992023	8.54E-03	0.2881162	0.042976745	2.83E-10	0.368178951	171	9.579187499	2.405790377	111.9044775	108.4171811	1.582439151
Anabaena_26	None	MBL	V2	1.234551835	2.12E-02	1.01E-114	0.321255844	0.029509532	2.65E-21	0.139884711	1.32E-02	1.90E-20	0.165712725	171	7.469166486	4.955131793	79.476531	75.50734777	0.594190287
Anabaena_26	MGS-1	MBL	V3	2.302451056	2.35E-02	4.21E-152	0.22270756	2.45E-02	2.71E-16	0.20661268	1.14E-02	7.75E-42	0.202532993	171	10.8131811	3.354814341	144.3509264	145.8095483	0.570733512
Anabaena_26	MMS-2	MBL	V4	2.166614281	2.37E-02	5.06E-147	0.23090244	2.44E-02	2.15E-17	0.188430284	1.04E-02	1.62E-41	0.197697541	171	11.28393529	3.678533866	134.5858643	136.2633288	0.591637763
Anabaena_26	None	dH2O	V7	2.18804291	1.36E-01	4.34E-36	0.969571937	0.037774509	1.52E-60	0.038153226	0.00649947	2.21E-08	0.224044324	171	5.988939961	18.16745946	119.3677395	123.3610905	2.5
Anabaena_26	MGS-1	dH2O	V8	2.126283834	2.45E-02	3.21E-143	0.384697042	2.68E-02	3.70E-31	0.136459575	7.20E-03	6.92E-44	0.181911492	171	11.06625027	5.079505645	130.7081188	139.0345201	0.50652718
Anabaena_26	MMS-2	dH2O	V9	2.331532284	3.36E-02	3.60E-127	0.354649274	0.02083201	1.18E-38	0.092057217	4.14E-03	2.63E-52	0.165222234	171	18.66390663	7.529525687	124.993679	121.4767992	0.684328962
