Time	Media	Substrate	Cyanobacteria	Intensity
0	MBL	10x	Nostoc_10	12462
0	MBL	10x	Nostoc_10	13035
0	MBL	10x	Nostoc_10	13390
0	MBL	10x	Nostoc_10	12968
0	MBL	10x	Nostoc_10	13008
0	MBL	10x	Nostoc_10	13175
1	MBL	10x	Nostoc_10	12313
1	MBL	10x	Nostoc_10	12396
1	MBL	10x	Nostoc_10	12098
1	MBL	10x	Nostoc_10	11765
1	MBL	10x	Nostoc_10	11675
1	MBL	10x	Nostoc_10	11621
2	MBL	10x	Nostoc_10	9730
2	MBL	10x	Nostoc_10	9399
2	MBL	10x	Nostoc_10	9542
2	MBL	10x	Nostoc_10	9512
2	MBL	10x	Nostoc_10	9539
2	MBL	10x	Nostoc_10	9494
5	MBL	10x	Nostoc_10	7685
5	MBL	10x	Nostoc_10	7459
5	MBL	10x	Nostoc_10	7428
5	MBL	10x	Nostoc_10	7502
5	MBL	10x	Nostoc_10	7546
5	MBL	10x	Nostoc_10	7503
6	MBL	10x	Nostoc_10	6923
6	MBL	10x	Nostoc_10	6529
6	MBL	10x	Nostoc_10	6420
6	MBL	10x	Nostoc_10	6630
6	MBL	10x	Nostoc_10	6607
6	MBL	10x	Nostoc_10	6659
7	MBL	10x	Nostoc_10	5963
7	MBL	10x	Nostoc_10	5936
7	MBL	10x	Nostoc_10	6108
7	MBL	10x	Nostoc_10	6033
7	MBL	10x	Nostoc_10	5989
7	MBL	10x	Nostoc_10	5887
8	MBL	10x	Nostoc_10	7573
8	MBL	10x	Nostoc_10	7461
8	MBL	10x	Nostoc_10	7066
8	MBL	10x	Nostoc_10	7272
8	MBL	10x	Nostoc_10	7248
8	MBL	10x	Nostoc_10	7223
9	MBL	10x	Nostoc_10	7274
9	MBL	10x	Nostoc_10	7157
9	MBL	10x	Nostoc_10	6755
9	MBL	10x	Nostoc_10	6997
9	MBL	10x	Nostoc_10	7028
9	MBL	10x	Nostoc_10	7061
12	MBL	10x	Nostoc_10	7093
12	MBL	10x	Nostoc_10	6929
12	MBL	10x	Nostoc_10	6622
12	MBL	10x	Nostoc_10	6981
12	MBL	10x	Nostoc_10	6838
12	MBL	10x	Nostoc_10	6803
13	MBL	10x	Nostoc_10	7089
13	MBL	10x	Nostoc_10	7011
13	MBL	10x	Nostoc_10	6618
13	MBL	10x	Nostoc_10	7171
13	MBL	10x	Nostoc_10	6974
13	MBL	10x	Nostoc_10	7018
16	MBL	10x	Nostoc_10	9050
16	MBL	10x	Nostoc_10	8319
16	MBL	10x	Nostoc_10	7669
16	MBL	10x	Nostoc_10	8796
16	MBL	10x	Nostoc_10	8302
16	MBL	10x	Nostoc_10	8243
19	MBL	10x	Nostoc_10	9482
19	MBL	10x	Nostoc_10	8725
19	MBL	10x	Nostoc_10	8459
19	MBL	10x	Nostoc_10	9781
19	MBL	10x	Nostoc_10	9239
19	MBL	10x	Nostoc_10	9298
20	MBL	10x	Nostoc_10	9919
20	MBL	10x	Nostoc_10	9245
20	MBL	10x	Nostoc_10	8990
20	MBL	10x	Nostoc_10	10472
20	MBL	10x	Nostoc_10	9858
20	MBL	10x	Nostoc_10	9701
22	MBL	10x	Nostoc_10	9964
22	MBL	10x	Nostoc_10	9087
22	MBL	10x	Nostoc_10	8817
22	MBL	10x	Nostoc_10	10692
22	MBL	10x	Nostoc_10	10067
22	MBL	10x	Nostoc_10	9946
23	MBL	10x	Nostoc_10	10674
23	MBL	10x	Nostoc_10	9927
23	MBL	10x	Nostoc_10	9634
23	MBL	10x	Nostoc_10	11684
23	MBL	10x	Nostoc_10	11050
23	MBL	10x	Nostoc_10	10829
24	MBL	10x	Nostoc_10	10674
24	MBL	10x	Nostoc_10	9927
24	MBL	10x	Nostoc_10	9634
24	MBL	10x	Nostoc_10	11684
24	MBL	10x	Nostoc_10	11050
24	MBL	10x	Nostoc_10	10829
27	MBL	10x	Nostoc_10	12623
27	MBL	10x	Nostoc_10	11542
27	MBL	10x	Nostoc_10	10987
27	MBL	10x	Nostoc_10	13766
27	MBL	10x	Nostoc_10	12788
27	MBL	10x	Nostoc_10	12451
30	MBL	10x	Nostoc_10	13666
30	MBL	10x	Nostoc_10	12977
30	MBL	10x	Nostoc_10	12173
30	MBL	10x	Nostoc_10	15301
30	MBL	10x	Nostoc_10	14517
30	MBL	10x	Nostoc_10	14013
34	MBL	10x	Nostoc_10	17136
34	MBL	10x	Nostoc_10	15009
34	MBL	10x	Nostoc_10	13667
34	MBL	10x	Nostoc_10	18336
34	MBL	10x	Nostoc_10	17592
34	MBL	10x	Nostoc_10	16996
38	MBL	10x	Nostoc_10	18125
38	MBL	10x	Nostoc_10	17280
38	MBL	10x	Nostoc_10	16302
38	MBL	10x	Nostoc_10	20646
38	MBL	10x	Nostoc_10	19742
38	MBL	10x	Nostoc_10	18751
41	MBL	10x	Nostoc_10	19428
41	MBL	10x	Nostoc_10	18714
41	MBL	10x	Nostoc_10	17944
41	MBL	10x	Nostoc_10	21710
41	MBL	10x	Nostoc_10	20685
41	MBL	10x	Nostoc_10	19815
43	MBL	10x	Nostoc_10	20391
43	MBL	10x	Nostoc_10	20163
43	MBL	10x	Nostoc_10	18681
43	MBL	10x	Nostoc_10	22916
43	MBL	10x	Nostoc_10	21990
43	MBL	10x	Nostoc_10	20691
46	MBL	10x	Nostoc_10	22226
46	MBL	10x	Nostoc_10	22199
46	MBL	10x	Nostoc_10	20686
46	MBL	10x	Nostoc_10	24686
46	MBL	10x	Nostoc_10	23537
46	MBL	10x	Nostoc_10	22615
49	MBL	10x	Nostoc_10	22431
49	MBL	10x	Nostoc_10	22029
49	MBL	10x	Nostoc_10	20856
49	MBL	10x	Nostoc_10	24830
49	MBL	10x	Nostoc_10	23339
49	MBL	10x	Nostoc_10	22427
52	MBL	10x	Nostoc_10	24661
52	MBL	10x	Nostoc_10	23212
52	MBL	10x	Nostoc_10	22469
52	MBL	10x	Nostoc_10	27163
52	MBL	10x	Nostoc_10	25761
52	MBL	10x	Nostoc_10	26231
56	MBL	10x	Nostoc_10	28115
56	MBL	10x	Nostoc_10	26230
56	MBL	10x	Nostoc_10	25331
56	MBL	10x	Nostoc_10	30415
56	MBL	10x	Nostoc_10	29166
56	MBL	10x	Nostoc_10	29251
59	MBL	10x	Nostoc_10	32236
59	MBL	10x	Nostoc_10	30318
59	MBL	10x	Nostoc_10	28273
59	MBL	10x	Nostoc_10	34391
59	MBL	10x	Nostoc_10	33193
59	MBL	10x	Nostoc_10	32860
65	MBL	10x	Nostoc_10	33858
65	MBL	10x	Nostoc_10	30748
65	MBL	10x	Nostoc_10	28539
65	MBL	10x	Nostoc_10	32021
65	MBL	10x	Nostoc_10	31295
65	MBL	10x	Nostoc_10	30732
74	MBL	10x	Nostoc_10	35360
74	MBL	10x	Nostoc_10	33928
74	MBL	10x	Nostoc_10	30947
74	MBL	10x	Nostoc_10	32894
74	MBL	10x	Nostoc_10	32721
74	MBL	10x	Nostoc_10	32555
0	MBL	1x	Nostoc_10	2936
0	MBL	1x	Nostoc_10	2968
0	MBL	1x	Nostoc_10	3080
0	MBL	1x	Nostoc_10	3089
0	MBL	1x	Nostoc_10	2891
0	MBL	1x	Nostoc_10	2568
1	MBL	1x	Nostoc_10	3054
1	MBL	1x	Nostoc_10	3022
1	MBL	1x	Nostoc_10	3015
1	MBL	1x	Nostoc_10	2973
1	MBL	1x	Nostoc_10	2743
1	MBL	1x	Nostoc_10	2461
2	MBL	1x	Nostoc_10	3666
2	MBL	1x	Nostoc_10	3323
2	MBL	1x	Nostoc_10	3325
2	MBL	1x	Nostoc_10	3311
2	MBL	1x	Nostoc_10	3228
2	MBL	1x	Nostoc_10	2892
5	MBL	1x	Nostoc_10	8434
5	MBL	1x	Nostoc_10	8047
5	MBL	1x	Nostoc_10	7525
5	MBL	1x	Nostoc_10	7560
5	MBL	1x	Nostoc_10	7657
5	MBL	1x	Nostoc_10	7287
6	MBL	1x	Nostoc_10	6115
6	MBL	1x	Nostoc_10	5452
6	MBL	1x	Nostoc_10	5225
6	MBL	1x	Nostoc_10	5204
6	MBL	1x	Nostoc_10	5303
6	MBL	1x	Nostoc_10	5026
7	MBL	1x	Nostoc_10	5410
7	MBL	1x	Nostoc_10	5444
7	MBL	1x	Nostoc_10	5233
7	MBL	1x	Nostoc_10	5185
7	MBL	1x	Nostoc_10	5101
7	MBL	1x	Nostoc_10	4845
8	MBL	1x	Nostoc_10	6681
8	MBL	1x	Nostoc_10	5698
8	MBL	1x	Nostoc_10	5267
8	MBL	1x	Nostoc_10	5882
8	MBL	1x	Nostoc_10	6615
8	MBL	1x	Nostoc_10	6201
9	MBL	1x	Nostoc_10	6365
9	MBL	1x	Nostoc_10	5735
9	MBL	1x	Nostoc_10	5379
9	MBL	1x	Nostoc_10	5836
9	MBL	1x	Nostoc_10	6184
