Cyanobacteria	Substrate	Media	k	n0	r	t_mid	t_gen
Nostoc_10	1x	MBL	1.140217533	0.218040662	0.070958926	20.32239718	9.768287404
Nostoc_10	MGS-1	MBL	2.040957198	0.377390294	0.163765147	9.058333971	4.232568356
Nostoc_10	MMS-2	MBL	1.80080994	0.244387849	0.186638002	9.919675571	3.713858772
Nostoc_10	PRT	MBL	0	0	0	0	0
Nostoc_10	1x	dH2O	0.470828748	0.929189381	0.022912257	-30.84184582	30.25224396
Nostoc_10	MGS-1	dH2O	1.987652432	0.449845452	0.069174207	17.76975272	10.02031259
Nostoc_10	MMS-2	dH2O	2.296428785	0.470511254	0.053040627	25.56564839	13.06823129
Nostoc_10	PRT	dH2O	0	0	0	0	0
Anabaena_24	1x	MBL	1.240799467	0.052072438	1.090380835	2.868724757	0.63569274
Anabaena_24	MGS-1	MBL	2.722394653	0.268615424	0.241370538	9.164763736	2.871714117
Anabaena_24	MMS-2	MBL	2.394957777	0.133195864	0.18776737	15.08291187	3.691520955
Anabaena_24	PRT	MBL	725304.3912	0.091526351	0.024878705	638.5169464	27.86106322
Anabaena_24	1x	dH2O	1.141291025	0.064449573	1.211444042	2.324419665	0.572166073
Anabaena_24	MGS-1	dH2O	2.748589232	0.409172948	0.201954635	8.633220023	3.432192477
Anabaena_24	MMS-2	dH2O	1.742848837	0.103749866	0.2881162	9.579187499	2.405790377
Anabaena_24	PRT	dH2O	1.779511703	0.07077505	0.070696015	45.03794205	9.804614563
Anabaena_26	1x	MBL	1.234551835	0.321255844	0.139884711	7.469166486	4.955131793
Anabaena_26	MGS-1	MBL	2.302451056	0.22270756	0.20661268	10.8131811	3.354814341
Anabaena_26	MMS-2	MBL	2.166614281	0.23090244	0.188430284	11.28393529	3.678533866
Anabaena_26	PRT	MBL	1.459530415	0.520671066	0.025686532	22.95160702	26.98484877
Anabaena_26	1x	dH2O	2.18804291	0.969571937	0.038153226	5.988939961	18.16745946
Anabaena_26	MGS-1	dH2O	2.126283834	0.384697042	0.136459575	11.06625027	5.079505645
Anabaena_26	MMS-2	dH2O	2.331532284	0.354649274	0.092057217	18.66390663	7.529525687
Anabaena_26	PRT	dH2O	0	0	0	0	0
