Time_growth	Time_UV	Substrate	Cyanobacteria	Intensity
0	None	None	Nostoc_10	3454
0	None	None	Nostoc_10	3527
0	None	None	Nostoc_10	3506
0	None	None	Nostoc_10	3457
0	None	None	Nostoc_10	3800
0	1min	None	Nostoc_10	3847
0	1min	None	Nostoc_10	3858
0	1min	None	Nostoc_10	4139
0	1min	None	Nostoc_10	4013
0	1min	None	Nostoc_10	4074
0	10min	None	Nostoc_10	3049
0	10min	None	Nostoc_10	3052
0	10min	None	Nostoc_10	3547
0	10min	None	Nostoc_10	3667
0	10min	None	Nostoc_10	3352
0	1h	None	Nostoc_10	3682
0	1h	None	Nostoc_10	2980
0	1h	None	Nostoc_10	3247
0	1h	None	Nostoc_10	3162
0	1h	None	Nostoc_10	3673
0	2h	None	Nostoc_10	4367
0	2h	None	Nostoc_10	4585
0	2h	None	Nostoc_10	4898
0	2h	None	Nostoc_10	5123
0	2h	None	Nostoc_10	4960
0	3h	None	Nostoc_10	5020
0	3h	None	Nostoc_10	4779
0	3h	None	Nostoc_10	4526
0	3h	None	Nostoc_10	4486
0	3h	None	Nostoc_10	4272
0	4h	None	Nostoc_10	3573
0	4h	None	Nostoc_10	3943
0	4h	None	Nostoc_10	3704
0	4h	None	Nostoc_10	3873
0	4h	None	Nostoc_10	3922
0	None	MGS-1	Nostoc_10	38
0	None	MGS-1	Nostoc_10	45
0	None	MGS-1	Nostoc_10	52
0	None	MGS-1	Nostoc_10	35
0	None	MGS-1	Nostoc_10	56
0	1min	MGS-1	Nostoc_10	37
0	1min	MGS-1	Nostoc_10	51
0	1min	MGS-1	Nostoc_10	57
0	1min	MGS-1	Nostoc_10	36
0	1min	MGS-1	Nostoc_10	53
0	10min	MGS-1	Nostoc_10	29
0	10min	MGS-1	Nostoc_10	64
0	10min	MGS-1	Nostoc_10	62
0	10min	MGS-1	Nostoc_10	47
0	10min	MGS-1	Nostoc_10	76
0	1h	MGS-1	Nostoc_10	71
0	1h	MGS-1	Nostoc_10	76
0	1h	MGS-1	Nostoc_10	82
0	1h	MGS-1	Nostoc_10	90
0	1h	MGS-1	Nostoc_10	73
0	2h	MGS-1	Nostoc_10	46
0	2h	MGS-1	Nostoc_10	37
0	2h	MGS-1	Nostoc_10	32
0	2h	MGS-1	Nostoc_10	35
