Time_UV	Substrate	k	n0	r	t_mid	t_gen	Cyanobacteria
None	MGS-1	1.584746432	0.325613607	0.3672687	3.68250032	1.887302623	Nostoc_10
1min	MGS-1	1.551419346	0.314031723	0.354392402	3.869337105	1.955874836	Nostoc_10
10min	MGS-1	1.618186999	0.319003696	0.33683181	4.169108697	2.057843586	Nostoc_10
1h	MGS-1	1.371213513	0.198683618	0.359805529	4.933791032	1.926449495	Nostoc_10
2h	MGS-1	1.724568722	0.283222444	0.371181618	4.383569062	1.867407076	Nostoc_10
3h	MGS-1	1.809134731	0.353010053	0.342995532	4.131357966	2.020863587	Nostoc_10
4h	MGS-1	1.563377213	0.376854123	0.331333426	3.461541385	2.091992916	Nostoc_10
None	MMS-2	1.352962591	0.119410683	0.322379794	7.243271436	2.150094995	Nostoc_10
1min	MMS-2	1.398263349	0.106144366	0.31501475	7.9337195	2.20036421	Nostoc_10
10min	MMS-2	1.450414012	0.196885775	0.251002981	7.374787734	2.761509757	Nostoc_10
1h	MMS-2	1.243891997	0.124341996	0.292035054	7.525282567	2.37350678	Nostoc_10
2h	MMS-2	1.697808337	0.175358148	0.196190946	11.01603254	3.533023293	Nostoc_10
3h	MMS-2	1.626568413	0.132651443	0.185189781	13.0754074	3.742901895	Nostoc_10
4h	MMS-2	1.633427992	0.156397061	0.185611782	12.09724491	3.734392137	Nostoc_10
None	Monmorillonite	0.411993233	0.063180355	2.516523046	0.678929688	0.275438439	Nostoc_10
1min	Monmorillonite	0.374783518	0.038642922	2.722476765	0.794558066	0.254601688	Nostoc_10
10min	Monmorillonite	0.391955679	0.099321737	1.275085697	0.847439539	0.54360831	Nostoc_10
1h	Monmorillonite	0.312141128	0.029926301	1.591745524	1.40972965	0.435463565	Nostoc_10
2h	Monmorillonite	0.346862522	0.03873559	1.430829852	1.449335844	0.484437181	Nostoc_10
3h	Monmorillonite	0.406928298	0.105416291	0.145083121	7.243383249	4.777586654	Nostoc_10
4h	Monmorillonite	0.503449061	0.115933942	0.105556301	11.43213904	6.566611154	Nostoc_10
None	None	25017.02853	0.119255419	0.031601405	387.7610796	21.93406206	Nostoc_10
1min	None	0.5697099	0.101425914	0.139800706	10.942336	4.958109287	Nostoc_10
10min	None	247093.5647	0.136161657	0.022807983	631.8592164	30.3905515	Nostoc_10
1h	None	2333881.025	0.096518932	0.05170947	328.7803795	13.40464677	Nostoc_10
2h	None	0.901775193	0.083714961	0.1080786	21.09130088	6.413361976	Nostoc_10
3h	None	2.343053709	0.088899214	0.066876905	48.34295058	10.36452234	Nostoc_10
4h	None	1.066564336	0.133626719	0.18251459	10.64730277	3.797763124	Nostoc_10
None	Nontronite	1.073297077	0.225011527	0.464363851	2.857814358	1.49268118	Nostoc_10
1min	Nontronite	1.087324601	0.126937303	1.240397897	1.63144694	0.558810348	Nostoc_10
10min	Nontronite	1.092982238	0.245886718	0.352903823	3.505041449	1.964124883	Nostoc_10
1h	Nontronite	1.122803197	0.243746899	0.335900927	3.818740744	2.063546493	Nostoc_10
2h	Nontronite	1.145726929	0.280362341	0.302312009	3.728161738	2.292820528	Nostoc_10
3h	Nontronite	1.521182664	0.415072759	0.189172999	5.181240076	3.664091524	Nostoc_10
4h	Nontronite	1.579185215	0.240543322	0.188497369	9.106284475	3.677224704	Nostoc_10
None	MGS-1	1.539745514	0.328085697	0.287913485	4.537722866	2.40748425	Anabaena_26
1min	MGS-1	1.182394575	0.182955295	0.343232395	4.946947297	2.019468997	Anabaena_26
10min	MGS-1	1.473518419	0.184910189	0.35048202	5.539364839	1.97769683	Anabaena_26
1h	MGS-1	1.459329337	0.198726372	0.342240225	5.398011195	2.02532353	Anabaena_26
2h	MGS-1	1.39500394	0.255911313	0.222187673	6.720248292	3.119647326	Anabaena_26
3h	MGS-1	1.391174526	0.236590977	0.232089009	6.829975215	2.986557538	Anabaena_26
4h	MGS-1	1.27952012	0.182454109	0.304181546	5.897451614	2.278728573	Anabaena_26
None	MMS-2	1.301466584	0.16562853	0.236507286	8.140884595	2.930764595	Anabaena_26
1min	MMS-2	1.337287458	0.185766882	0.207685728	8.784166532	3.337481044	Anabaena_26
10min	MMS-2	1.221349096	0.165032832	0.300739593	6.172777108	2.304808534	Anabaena_26
1h	MMS-2	2.907237878	0.683353688	0.045248197	26.07834349	15.31878028	Anabaena_26
2h	MMS-2	1.419423732	0.054771498	0.298527404	10.77115504	2.321887947	Anabaena_26
3h	MMS-2	1.774935631	0.23555868	0.174108941	10.78160012	3.981111912	Anabaena_26
4h	MMS-2	1.695216028	0.120506602	0.193688657	13.26934443	3.578666873	Anabaena_26
None	Monmorillonite	0.520217879	0.164798184	0.309105164	2.486460349	2.242431577	Anabaena_26
1min	Monmorillonite	0.476668275	0.119460238	0.858671016	1.275616335	0.807232534	Anabaena_26
10min	Monmorillonite	0.569343829	0.163994847	0.310433149	2.915002412	2.232838806	Anabaena_26
1h	Monmorillonite	0.494389246	0.167494906	0.840614792	0.795470252	0.824571715	Anabaena_26
2h	Monmorillonite	0.303274479	0.049955455	0.344907472	4.707111564	2.00966125	Anabaena_26
3h	Monmorillonite	0.994831363	0.590833354	0.240750832	-1.57891066	2.879106067	Anabaena_26
4h	Monmorillonite	0.768661401	0.286336951	0.163212291	3.194904941	4.246905535	Anabaena_26
None	None	2.805843674	0.978777207	0.011215531	55.65165527	61.8024373	Anabaena_26
1min	None	0.762119833	0.195907879	0.056755448	18.69994834	12.21287483	Anabaena_26
10min	None	45079.81627	0.131611666	0.021943357	580.7719585	31.58801869	Anabaena_26
1h	None	0.507270842	0.068477977	0.15765951	11.78181562	4.396481898	Anabaena_26
2h	None	19132.26803	0.105356851	0.012958495	934.485697	53.48979039	Anabaena_26
3h	None	103509.2313	0.084427475	0.035539044	394.4753755	19.50382188	Anabaena_26
4h	None	0.746802281	0.109993723	0.135027071	13.0051386	5.133394172	Anabaena_26
None	Nontronite	1.030776194	0.247953261	0.297823565	3.860225981	2.327375202	Anabaena_26
1min	Nontronite	0.883717682	0.129314637	0.380277661	4.637869831	1.822739678	Anabaena_26
10min	Nontronite	1.029579311	0.256572015	0.294210644	3.748603668	2.355955483	Anabaena_26
1h	Nontronite	0.944765084	0.176822131	0.301094033	4.877450138	2.302095372	Anabaena_26
2h	Nontronite	0.973213363	0.16495718	0.361872395	4.391584333	1.915446409	Anabaena_26
3h	Nontronite	1.333904303	0.26928584	0.26530776	5.181146394	2.612615555	Anabaena_26
4h	Nontronite	2.14616169	0.407424425	0.12421146	11.68216655	5.580380262	Anabaena_26
None	PRT	0.392307413	1.010643135	0.033024765	0	0	Anabaena_26
1min	PRT	0.226396377	1.123769096	0.064866477	0	0	Anabaena_26
10min	PRT	0	0	0	0	0	Anabaena_26
1h	PRT	0.286306739	0.864375443	0.037414544	0	0	Anabaena_26
2h	PRT	0	0	0	0	0	Anabaena_26
3h	PRT	0	0	0	0	0	Anabaena_26
4h	PRT	0.169142399	0.421597889	0.015524062	0	0	Anabaena_26
None	PRT	0.327275432	0.957063225	0.043908899	0	0	Nostoc_10
1min	PRT	0	0	0	0	0	Nostoc_10
10min	PRT	1.097777104	0.993179588	0.683699978	0	0	Nostoc_10
1h	PRT	0	0	0	0	0	Nostoc_10
2h	PRT	0.166849556	0.710113688	0.05888802	0	0	Nostoc_10
3h	PRT	0.176091259	0.537407303	0.061404716	0	0	Nostoc_10
4h	PRT	0.230365419	0.777863953	0.091137833	0	0	Nostoc_10
