Time_growth	Time_UV	Substrate	Cyanobacteria	Intensity
0	None	None	Nostoc_10	18696
0	None	None	Nostoc_10	18585
0	None	None	Nostoc_10	17089
0	None	None	Nostoc_10	17420
0	None	None	Nostoc_10	15184
0	1min	None	Nostoc_10	18185
0	1min	None	Nostoc_10	18720
0	1min	None	Nostoc_10	15932
0	1min	None	Nostoc_10	17540
0	1min	None	Nostoc_10	17416
0	10min	None	Nostoc_10	15125
0	10min	None	Nostoc_10	12429
0	10min	None	Nostoc_10	14085
0	10min	None	Nostoc_10	14269
0	10min	None	Nostoc_10	10610
0	1h	None	Nostoc_10	12821
0	1h	None	Nostoc_10	10241
0	1h	None	Nostoc_10	13007
0	1h	None	Nostoc_10	13923
0	1h	None	Nostoc_10	13783
0	2h	None	Nostoc_10	10563
0	2h	None	Nostoc_10	12708
0	2h	None	Nostoc_10	11871
0	2h	None	Nostoc_10	9979
0	2h	None	Nostoc_10	9401
0	4h	None	Nostoc_10	10563
0	4h	None	Nostoc_10	12708
0	4h	None	Nostoc_10	11871
0	4h	None	Nostoc_10	9979
0	4h	None	Nostoc_10	9401
0	72h	None	Nostoc_10	480
0	72h	None	Nostoc_10	324
0	72h	None	Nostoc_10	320
0	72h	None	Nostoc_10	337
0	72h	None	Nostoc_10	457
0	None	MGS-1	Nostoc_10	64
0	None	MGS-1	Nostoc_10	94
0	None	MGS-1	Nostoc_10	124
0	None	MGS-1	Nostoc_10	98
0	None	MGS-1	Nostoc_10	77
0	1min	MGS-1	Nostoc_10	116
0	1min	MGS-1	Nostoc_10	106
0	1min	MGS-1	Nostoc_10	81
0	1min	MGS-1	Nostoc_10	83
0	1min	MGS-1	Nostoc_10	128
0	10min	MGS-1	Nostoc_10	55
0	10min	MGS-1	Nostoc_10	52
0	10min	MGS-1	Nostoc_10	101
0	10min	MGS-1	Nostoc_10	78
0	10min	MGS-1	Nostoc_10	41
0	1h	MGS-1	Nostoc_10	114
0	1h	MGS-1	Nostoc_10	82
0	1h	MGS-1	Nostoc_10	94
0	1h	MGS-1	Nostoc_10	81
0	1h	MGS-1	Nostoc_10	85
0	2h	MGS-1	Nostoc_10	150
0	2h	MGS-1	Nostoc_10	110
0	2h	MGS-1	Nostoc_10	141
0	2h	MGS-1	Nostoc_10	190
0	2h	MGS-1	Nostoc_10	61
0	4h	MGS-1	Nostoc_10	72
0	4h	MGS-1	Nostoc_10	85
0	4h	MGS-1	Nostoc_10	116
0	4h	MGS-1	Nostoc_10	110
0	4h	MGS-1	Nostoc_10	111
0	72h	MGS-1	Nostoc_10	120
0	72h	MGS-1	Nostoc_10	72
