Time_UV	Substrate	r	t_mid	Cyanobacteria
None	MGS-1	0.141898944	25.28868835	Anabaena_26
1min	MGS-1	0.133716217	24.86146567	Anabaena_26
10min	MGS-1	0.10635734	23.32651764	Anabaena_26
1h	MGS-1	0.113175082	25.89103102	Anabaena_26
2h	MGS-1	0.103896083	26.72883308	Anabaena_26
4h	MGS-1	0.12279836	28.23591886	Anabaena_26
72h	MGS-1	0.076333474	40.83886603	Anabaena_26
None	MMS-2	0.1160164	32.04430567	Anabaena_26
1min	MMS-2	0.127649822	35.31703828	Anabaena_26
10min	MMS-2	0.159982054	28.64039173	Anabaena_26
1h	MMS-2	0.161417862	35.28372561	Anabaena_26
2h	MMS-2	0.120383865	36.54974311	Anabaena_26
4h	MMS-2	0.148616831	35.29208773	Anabaena_26
72h	MMS-2	0.02320191	575.1995882	Anabaena_26
None	Monmorillonite	0.677970016	6.39573163	Anabaena_26
1min	Monmorillonite	0.633340425	6.376600994	Anabaena_26
10min	Monmorillonite	0.514495339	7.290267596	Anabaena_26
1h	Monmorillonite	0.343958782	7.08846713	Anabaena_26
2h	Monmorillonite	0.747563117	7.318666189	Anabaena_26
4h	Monmorillonite	0.518215376	8.316340428	Anabaena_26
72h	Monmorillonite	0.067224199	31.35506531	Anabaena_26
None	None	0.093348703	11.47021567	Anabaena_26
1min	None	0.050461973	14.25116348	Anabaena_26
10min	None	0.097476459	17.21567034	Anabaena_26
1h	None	0.092120092	20.38319557	Anabaena_26
2h	None	0.061936713	23.8641652	Anabaena_26
4h	None	0.04596356	25.90424835	Anabaena_26
72h	None	0	0	Anabaena_26
None	Nontronite	0.258918082	13.42125695	Anabaena_26
1min	Nontronite	0.192779093	14.96647305	Anabaena_26
10min	Nontronite	0.271668884	13.57057477	Anabaena_26
1h	Nontronite	0.220006845	15.63571427	Anabaena_26
2h	Nontronite	0.229039427	15.57669612	Anabaena_26
4h	Nontronite	0.202046703	18.22885152	Anabaena_26
72h	Nontronite	0.085638974	46.56079054	Anabaena_26
None	MGS-1	0.248901218	23.16480382	Nostoc_10
1min	MGS-1	0.099382153	29.9665656	Nostoc_10
10min	MGS-1	0.153566297	27.44497036	Nostoc_10
1h	MGS-1	0.156536971	32.71440381	Nostoc_10
2h	MGS-1	0.113805563	33.45757179	Nostoc_10
4h	MGS-1	0.113370441	39.54720353	Nostoc_10
72h	MGS-1	0.092833995	32.91353623	Nostoc_10
None	MMS-2	0.13228085	28.85263887	Nostoc_10
1min	MMS-2	0.145095505	27.49350391	Nostoc_10
10min	MMS-2	0.183160483	29.54180159	Nostoc_10
1h	MMS-2	0.174827536	30.03598339	Nostoc_10
2h	MMS-2	0.083271606	42.61708532	Nostoc_10
4h	MMS-2	0.136436818	35.42704005	Nostoc_10
72h	MMS-2	0	0	Nostoc_10
None	Monmorillonite	0.33138916	12.49801329	Nostoc_10
1min	Monmorillonite	0.461945186	12.6631071	Nostoc_10
10min	Monmorillonite	0.420181428	12.19890232	Nostoc_10
1h	Monmorillonite	0.546357913	12.82754606	Nostoc_10
2h	Monmorillonite	0.652956091	12.88830057	Nostoc_10
4h	Monmorillonite	0.607218419	13.6899314	Nostoc_10
72h	Monmorillonite	0.024616472	601.02299	Nostoc_10
None	None	0.073087152	10.73119197	Nostoc_10
1min	None	0.06549843	18.23284918	Nostoc_10
10min	None	0.040868773	12.38851743	Nostoc_10
1h	None	0.117326159	11.77447938	Nostoc_10
2h	None	0.504555522	13.91356375	Nostoc_10
4h	None	0.002387111	5964.479165	Nostoc_10
72h	None	0.019785649	795.0605758	Nostoc_10
None	Nontronite	0.246613607	20.57899203	Nostoc_10
1min	Nontronite	0.220577802	23.32496441	Nostoc_10
10min	Nontronite	0.291960647	19.91759129	Nostoc_10
1h	Nontronite	0.224428014	23.4468425	Nostoc_10
2h	Nontronite	0.219013586	24.40500633	Nostoc_10
4h	Nontronite	0.14956543	25.60751668	Nostoc_10
72h	Nontronite	0.033624717	465.5618436	Nostoc_10
None	PRT	0	0	Anabaena_26
1min	PRT	0	0	Anabaena_26
10min	PRT	0	0	Anabaena_26
1h	PRT	0	0	Anabaena_26
2h	PRT	0	0	Anabaena_26
4h	PRT	0	0	Anabaena_26
72h	PRT	0	0	Anabaena_26
None	PRT	0	0	Nostoc_10
1min	PRT	0	0	Nostoc_10
10min	PRT	0	0	Nostoc_10
1h	PRT	0	0	Nostoc_10
2h	PRT	0	0	Nostoc_10
4h	PRT	0	0	Nostoc_10
72h	PRT	0	0	Nostoc_10
